,no,case_number,type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,image
160,239,2022-108016(1),아파트,서울특별시,관악구,봉천동,1644-31,,2.0,201,휴먼아파트,서울특별시 관악구 봉천동 1644-31 휴먼아파트 B동 2층201호,2023-05-10,64,배당종결,2,634,405,471,74,4,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/108016/44532.jpg
161,240,2022-110804(1),아파트,서울특별시,강남구,개포동,12,303동,2.0,204,대청아파트,"서울특별시 강남구 개포동 12 303동 2층204호 (개포동,대청아파트)",2023-05-10,80,배당종결,1,1,1,1,82,4,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/110804/165865.jpg
162,241,2022-111124(1),아파트,서울특별시,영등포구,대림동,1101-1,,5.0,505,유탑유블레스,"서울특별시 영등포구 대림동 1101-1 제5층 제505호 (대림동, 유탑유블레스)",2023-05-10,100,배당종결,0,109,109,109,100,1,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/111124/146459.jpg
163,242,2021-1036(1),아파트,서울특별시,송파구,방이동,89,309동,7.0,707,올림픽선수기자촌아파트,"서울특별시 송파구 방이동 89 309동 7층707호 (방이동,올림픽선수기자촌아파트)",2023-05-08,80,배당종결,1,3,2,2,98,7,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2021/1036/11566_AUTO_5.jpg
164,243,2021-2176(1),아파트,서울특별시,광진구,화양동,21-2,,1.0,107,브라운스톤화양,"서울특별시 광진구 화양동 21-2 1층107호 (화양동,브라운스톤화양)",2023-05-08,8,배당종결,5,696,228,253,36,2,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/2176/04940_AUTO_153.jpg
165,244,2021-56012(1),아파트,서울특별시,강동구,길동,54,510동,12.0,1209,삼익파크맨션,"서울특별시 강동구 길동 54 510동 12층1209호 (길동,삼익파크맨션)",2023-05-08,64,배당종결,2,1,800,845,68,4,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/56012/10976_AUTO_72.jpg
166,245,2022-54619(1),아파트,서울특별시,서대문구,남가좌동,376,104동,11.0,1102,남가좌동현대아파트,"서울특별시 서대문구 남가좌동 376 104동 11층1102호 (남가좌동,남가좌동현대아파트)",2023-05-02,2,배당종결,3,1,616,812,67,58,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/54619/153445.jpg
167,246,2021-115211(1),아파트,서울특별시,강서구,화곡동,143-6,2동,10.0,1006,성재센트리움아파트,"서울특별시 강서구 화곡동 143-6 제주건축물제2동 제10층 제1006호 (화곡동, 성재센트리움아파트)",2023-05-02,8,배당종결,5,213,69,85,40,1,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/115211/211084.jpg
168,247,2022-50585(1),아파트,서울특별시,성동구,행당동,347,119동,4.0,406,행당동대림아파트,"서울특별시 성동구 행당동 347 119동 4층406호 (행당동,행당동대림아파트)",2023-05-01,64,배당종결,2,679,434,468,69,2,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/50585/336898.jpg
169,248,2022-51922(1),아파트,서울특별시,송파구,잠실동,27,525동,5.0,507,잠실주공아파트,"서울특별시 송파구 잠실동 27 525동 5층507호 (잠실동,잠실주공아파트)",2023-05-01,100,배당종결,0,27,27,38,138,19,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/51922/685816.jpg
170,249,2022-103882(1),아파트,서울특별시,중구,신당동,844,2동,5.0,501,남산타운아파트,"서울특별시 중구 신당동 844 2동 5층501호 (신당동,남산타운아파트)",2023-04-27,64,배당종결,2,1,755,891,76,19,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/103882/85383.jpg
171,250,2022-105451(1),아파트,서울특별시,강남구,삼성동,5-3,,2.0,201,골든카운티,"서울특별시 강남구 삼성동 5-3 2층201호 (삼성동,골든카운티)",2023-04-27,64,배당종결,2,1,1,1,78,9,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/105451/90122.jpg
172,251,2021-106081(1),아파트,서울특별시,강북구,미아동,812,203동,2.0,201,삼성래미안트리베라아파트,"서울특별시 강북구 미아동 812 제203동 제2층 제201호 (미아동,삼성래미안트리베라아파트)",2023-04-26,64,배당종결,2,1,755,875,74,5,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/106081/123626.jpg
173,252,2021-106999(1),아파트,서울특별시,중랑구,신내동,654,707동,2.0,202,진로아파트,"서울특별시 중랑구 신내동 654 제707동 제2층 제202호 (신내동,진로아파트)",2023-04-26,64,배당종결,2,1,816,857,67,1,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/106999/265711.jpg
174,253,2022-1664(1),아파트,서울특별시,중랑구,상봉동,501,,39.0,3903,상봉 듀오트리스,"서울특별시 중랑구 상봉동 501 39층에이-이스트3903호 (상봉동,상봉 듀오트리스)",2023-04-26,64,배당종결,2,1,960,1,72,10,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/1664/63449.jpg
175,254,2022-103553(1),아파트,서울특별시,성북구,정릉동,1031,301동,2.0,202,정릉힐스테이트3차아파트,"서울특별시 성북구 정릉동 1031 301동 2층202호 (정릉동,정릉힐스테이트3차아파트)",2023-04-26,64,배당종결,2,810,518,589,73,10,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/103553/62789.jpg
176,255,2022-3265(1),아파트,서울특별시,중구,만리동,2,111동,21.0,2104,서울역센트럴자이,"서울특별시 중구 만리동2가 273 111동 21층2104호 (만리동2가,서울역센트럴자이)",2023-04-25,80,배당종결,1,1,1,1,80,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/3265/115024.jpg
177,256,2022-53791(1),아파트,서울특별시,서대문구,북가좌동,371-1,102동,9.0,905,월드컵현대아파트,"서울특별시 서대문구 북가좌동 371-1 102동 9층905호 (북가좌동,월드컵현대아파트)",2023-04-25,64,매각,2,1,665,786,76,28,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/53791/91125.jpg
178,257,2018-100670(1),아파트,서울특별시,서대문구,북가좌동,371-1,102동,9.0,905,월드컵현대아파트,"서울특별시 서대문구 북가좌동 371-1 102동 9층905호 (북가좌동,월드컵현대아파트)",2023-04-19,64,배당종결,2,750,480,510,68,28,http://img1.speedauction.co.kr/new_gamimg/2019/A05/2018/100670/369381.jpg
179,258,2021-104818(1),아파트,서울특별시,동대문구,장안동,336,117동,21.0,2101,장안현대홈타운,"서울특별시 동대문구 장안동 336 117동 21층2101호 (장안동,장안현대홈타운)",2023-04-19,64,배당종결,2,1,688,788,73,5,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/104818/17362.jpg
180,259,2022-3241(1),아파트,서울특별시,강남구,세곡동,579,109동,2.0,204,강남엘에이치1단지,"서울특별시 강남구 세곡동 579 109동 2층204호 (세곡동,강남엘에이치1단지)",2023-04-18,64,배당종결,2,1,1,1,75,7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/3241/79270.jpg
181,260,2022-101908(1),아파트,서울특별시,강북구,수유동,739,,2.0,203,북한산스카이뷰아파트,"서울특별시 강북구 수유동 739 2층203호 (수유동,북한산스카이뷰아파트)",2023-04-18,80,배당종결,1,451,360,360,80,1,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/101908/92948.jpg
182,261,2021-1623(1),아파트,서울특별시,강동구,둔촌동,603,4동,6.0,603,프라자아파트,"서울특별시 강동구 둔촌동 603 4동 6층603호 (둔촌동,프라자아파트)",2023-04-17,100,배당종결,0,98,98,99,101,1,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2021/1623/13298_AUTO_295.jpg
183,262,2022-105741(1),아파트,서울특별시,서초구,방배동,807-5,,7.0,702,,서울특별시 서초구 방배동 807-5 노블하임 7층702호,2023-04-13,64,배당종결,2,1,1,1,65,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/105741/259292.jpg
184,263,2022-103741(1),아파트,서울특별시,금천구,시흥동,1013,505동,19.0,1904,벽산아파트,"서울특별시 금천구 시흥동 1013 제505동 제19층 제1904호 (시흥동, 벽산아파트)",2023-04-13,64,배당종결,2,750,480,487,65,3,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/103741/36334_AUTO_63.jpg
185,264,2022-104663(1),아파트,서울특별시,강남구,청담동,127-31,102동,10.0,1002,청담현대3차아파트,"서울특별시 강남구 청담동 127-31 102동 10층1002호 (청담동,청담현대3차아파트)",2023-04-11,64,배당종결,2,2,1,2,71,2,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/104663/205580.jpg
186,265,2021-1920(1),아파트,서울특별시,송파구,풍납동,509,101동,17.0,1706,씨티극동아파트,"서울특별시 송파구 풍납동 509 101동 17층1706호 (풍납동,씨티극동아파트)",2023-04-10,64,배당종결,2,2,1,1,79,8,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1920/566962.jpg
187,266,2022-107846(1),아파트,서울특별시,강남구,청담동,116-10,,3.0,302,상지리츠빌9차,"서울특별시 강남구 청담동 116-10 3층302호 (청담동,상지리츠빌9차)",2023-04-05,64,배당종결,2,3,2,3,86,33,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/107846/79406.jpg
188,267,2021-105139(1),아파트,서울특별시,금천구,가산동,148-1,101동,10.0,1009,덕산아파트,"서울특별시 금천구 가산동 148-1 제101동 제10층 제1009호 (가산동, 덕산아파트)",2023-04-05,80,배당종결,1,423,338,386,91,13,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2021/105139/73146.jpg
189,268,2021-111653(1),아파트,서울특별시,양천구,신정동,1296,106동,9.0,902,신정동아이파크,"서울특별시 양천구 신정동 1296 제106동 제9층 제902호 (신정동, 신정동아이파크)",2023-04-05,80,배당종결,1,2,1,1,85,3,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2021/111653/73372.jpg
190,269,2021-50809(1),아파트,서울특별시,송파구,문정동,150,107동,11.0,1102,올림픽훼밀리타운아파트,서울특별시 송파구 문정동 150 올림픽훼밀리타운아파트 107동 11층1102호,2023-04-03,64,배당종결,2,2,1,1,80,7,http://img1.speedauction.co.kr/new_gamimg/2021/A02/2021/50809/416886.jpg
191,270,2022-51397(1),아파트,서울특별시,강동구,고덕동,688,123동,9.0,909,래미안힐스테이트고덕,"서울특별시 강동구 고덕동 688 123동 9층909호 (고덕동,래미안힐스테이트고덕)",2023-04-03,64,배당종결,2,1,1,1,72,7,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2022/51397/652039.jpg
192,271,2021-103744(1),아파트,서울특별시,영등포구,여의도동,50,7동,,25,,서울특별시 영등포구 여의도동 50 제7동 제25호,2023-03-29,80,배당종결,1,2,1,2,101,11,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/103744/123110.jpg
193,272,2022-2156(1),아파트,서울특별시,강남구,논현동,194-23,101동,6.0,602,논현동2차한화꿈에그린아파트,"서울특별시 강남구 논현동 194-23 101동 6층602호 (논현동,논현동2차한화꿈에그린아파트)",2023-03-28,64,배당종결,2,1,1,1,76,3,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/2156/59312_AUTO_59.jpg
194,273,2022-101800(1),아파트,서울특별시,종로구,숭인동,2-1,101동,7.0,704,종로센트레빌,"서울특별시 종로구 숭인동 2-1 101동 7층704호 (숭인동,종로센트레빌)",2023-03-28,64,배당종결,2,1,644,763,76,8,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/101800/05536_AUTO_66.jpg
195,274,2022-107709(1),아파트,서울특별시,관악구,신림동,1474-6,,3.0,301,삼성 아파트,"서울특별시 관악구 신림동 1474-6 3층301호 (신림동,삼성 아파트)",2023-03-28,64,배당종결,2,92,59,71,77,2,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/107709/263367.jpg
196,275,2020-54509(1),아파트,서울특별시,은평구,대조동,14-320,,2.0,202,유성아이비아파트,"서울특별시 은평구 대조동 14-320 제2층 제202호 (대조동,유성아이비아파트)",2023-03-28,6,배당종결,11,201,17,18,9,1,http://img1.speedauction.co.kr/new_gamimg/2021/A03/2020/54509/26366.jpg
197,276,2022-100608(1),아파트,서울특별시,노원구,상계동,458,8동,4.0,405,한신아파트,"서울특별시 노원구 상계동 458 8동 4층405호 (상계동,한신아파트)",2023-03-28,64,배당종결,2,575,368,401,70,2,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/100608/184704.jpg
198,277,2021-1944(1),아파트,서울특별시,송파구,가락동,176,8동,4.0,404,삼환가락아파트,"서울특별시 송파구 가락동 176 8동 4층404호 (가락동,삼환가락아파트)",2023-03-27,64,배당종결,2,1,1,1,72,3,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1944/636576.jpg
199,278,2022-1603(1),아파트,서울특별시,관악구,봉천동,100-20,,7.0,704,더갤러리테라스,"서울특별시 관악구 봉천동 100-20 7층704호 (봉천동,더갤러리테라스)",2023-03-22,2,배당종결,3,389,199,297,76,7,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/1603/35956_AUTO_56.jpg
200,279,2021-116382(1),아파트,서울특별시,양천구,신정동,1278,101동,9.0,902,목동삼성아파트,"서울특별시 양천구 신정동 1278 제101동 제9층 제902호 (목동, 목동삼성아파트)",2023-03-22,64,배당종결,2,850,544,563,66,2,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/116382/234799.jpg
201,280,2022-102789(1),아파트,서울특별시,동대문구,장안동,363-11,,2.0,201,정암아파트,"서울특별시 동대문구 장안동 363-11 2층201호 (장안동,정암아파트)",2023-03-22,64,배당종결,2,509,325,416,82,12,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2022/102789/89559.jpg
202,281,2021-2611(1),아파트,서울특별시,은평구,대조동,9-21,101동,2.0,202,모아아파트,"서울특별시 은평구 대조동 9-21 101동 2층202호 (대조동,모아아파트)",2023-03-21,8,배당종결,8,348,58,71,20,2,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2021/2611/51926.jpg
203,282,2022-1431(1),아파트,서울특별시,마포구,용강동,500,101동,,1101,마포대림1차아파트,"서울특별시 마포구 용강동 500 101동 1101호 (용강동,마포대림1차아파트)",2023-03-21,80,배당종결,1,1,1,1,86,1,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2022/1431/21946_AUTO_28.jpg
204,283,2022-53845(1),아파트,서울특별시,은평구,녹번동,182,,6.0,601,거장카운티,"서울특별시 은평구 녹번동 182 6층601호 (녹번동,거장카운티)",2023-03-21,80,배당종결,1,238,190,190,80,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/53845/90966.jpg
205,284,2022-54350(1),아파트,서울특별시,서대문구,남가좌동,387,101동,6.0,611,디엠씨엘가101동,"서울특별시 서대문구 남가좌동 387 6층611호 (남가좌동,디엠씨엘가101동)",2023-03-21,80,배당종결,1,242,193,193,80,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/54350/90674.jpg
206,285,2022-388(1),아파트,서울특별시,동대문구,장안동,580,,12.0,1206,위더스빌,"서울특별시 동대문구 장안동 580 씨동 12층1206호 (장안동,위더스빌)",2023-03-21,64,배당종결,2,882,564,671,76,7,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2022/388/167702.jpg
207,286,2022-105871(1),아파트,서울특별시,관악구,신림동,1693,107동,6.0,603,국제산장아파트,"서울특별시 관악구 신림동 1693 107동 6층603호 (신림동,국제산장아파트)",2023-03-16,64,배당종결,2,525,336,391,74,3,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/105871/185495.jpg
208,287,2020-1883(2),아파트,서울특별시,서초구,양재동,286-6,,5.0,401,양재테크노아파트,"서울특별시 서초구 양재동 286-6 양재테크노아파트 제4,5층 제401호",2023-03-16,64,배당종결,2,1,849,391,74,3,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/1883/123057.jpg
209,288,2022-105574(1),아파트,서울특별시,관악구,봉천동,1718,206동,8.0,806,벽산블루밍,"서울특별시 관악구 봉천동 1718 206동 8층806호 (봉천동,벽산블루밍)",2023-03-16,64,배당종결,2,825,528,588,71,11,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/105574/185502.jpg
210,289,2022-104720(1),아파트,서울특별시,구로구,고척동,339,108동,6.0,603,고척파크푸르지오,"서울특별시 구로구 고척동 339 제108동 제6층 제603호 (고척동, 고척파크푸르지오)",2023-03-16,64,배당종결,2,1,851,992,75,16,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/104720/44788_AUTO_48.jpg
211,290,2021-110226(1),아파트,서울특별시,강북구,미아동,4,104동,10.0,1004,꿈의숲 롯데캐슬,"서울특별시 강북구 미아동 4 104동 10층1004호 (미아동,꿈의숲 롯데캐슬)",2023-03-15,64,배당종결,2,981,627,669,68,1,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/110226/92513.jpg
212,291,2022-166(1),아파트,서울특별시,중랑구,면목동,1520,101동,9.0,904,일신강변아파트,"서울특별시 중랑구 면목동 1520 101동 9층904호 (면목동,일신강변아파트)",2023-03-15,2,배당종결,3,690,353,478,69,19,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2022/166/114632.jpg
213,292,2022-1306(1),아파트,서울특별시,서초구,서초동,1644,301동,3.0,306,서초3차현대아파트,"서울특별시 서초구 서초동 1644 301동 3층306호 (서초동,서초3차현대아파트)",2023-03-14,64,배당종결,2,1,960,1,82,21,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/1306/115152.jpg
214,293,2022-2941(1),아파트,서울특별시,강남구,개포동,187,502동,7.0,704,개포주공아파트,서울특별시 강남구 개포동 187 개포주공아파트 제502동 제7층 제704호,2023-03-14,80,배당종결,1,2,2,2,87,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/2941/133221.jpg
215,294,2022-101909(1),아파트,서울특별시,서초구,양재동,19,,3.0,303,해청아파트,"서울특별시 서초구 양재동 19 3층303호 (양재동,해청아파트)",2023-03-14,2,배당종결,3,1,839,1,67,29,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/101909/97148.jpg
216,295,2021-57628(1),아파트,서울특별시,은평구,진관동,6,703동,6.0,608,은평뉴타운 상림마을,"서울특별시 은평구 진관동 6 703동 6층608호 (진관동,은평뉴타운 상림마을)",2023-03-14,64,배당종결,2,908,581,678,75,3,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2021/57628/135518.jpg
217,296,2022-51306(1),아파트,서울특별시,은평구,응암동,760,209동,15.0,1502,백련산힐스테이트2차,"서울특별시 은평구 응암동 760 209동 15층1502호 (응암동,백련산힐스테이트2차)",2023-03-14,64,배당종결,2,1,672,733,70,3,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2022/51306/183456.jpg
218,297,2022-55711(1),아파트,서울특별시,용산구,용산동,5,,,,아스테리움용산,"서울특별시 용산구 한강로2가 419 17층에이-1701호 (용산동5가,아스테리움용산)",2023-03-14,80,배당종결,1,1,1,1,80,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55711/31785_AUTO_116.jpg
219,298,2021-103126(1),아파트,서울특별시,구로구,구로동,1260,101동,5.0,505,이화우성아파트,"서울특별시 구로구 구로동 1260 제101동 제5층 제505호 (구로동, 이화우성아파트)",2023-03-14,80,배당종결,1,874,699,773,88,3,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/103126/197615.jpg
220,299,2021-110803(1),아파트,서울특별시,양천구,신월동,1063,102동,17.0,1701,신정뉴타운롯데캐슬,"서울특별시 양천구 신월동 1063 제102동 제17층 제1701호 (신월동, 신정뉴타운롯데캐슬)",2023-03-14,2,배당종결,3,1,552,675,63,10,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2021/110803/129591.jpg
221,300,2022-101882(1),아파트,서울특별시,강서구,등촌동,702,1002동,12.0,1206,등촌10단지주공아파트,"서울특별시 강서구 등촌동 702 제1002동 제12층 제1206호 (등촌동, 등촌10단지주공아파트)",2023-03-14,64,배당종결,2,280,179,191,68,2,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/101882/14777_AUTO_108.jpg
222,301,2022-102106(1),아파트,서울특별시,금천구,제102동,35,,,3502,금천롯데캐슬골드파크1차,"서울특별시 금천구 벚꽃로 40, 제102동 제35층 제3502호 (독산동, 금천롯데캐슬골드파크1차)",2023-03-14,64,매각,2,1,998,1,68,1,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/102106/223578.jpg
223,302,2022-102250(1),아파트,서울특별시,구로구,구로동,1281,103동,9.0,902,한일유앤아이아파트,"서울특별시 구로구 구로동 1281 제103동 제9층 제902호 (구로동, 한일유앤아이아파트)",2023-03-14,64,배당종결,2,833,533,616,74,9,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/102250/223608.jpg
224,303,2022-100295(1),아파트,서울특별시,노원구,상계동,670,915동,5.0,513,상계주공아파트,"서울특별시 노원구 상계동 670 915동 5층513호 (상계동,상계주공아파트)",2023-03-14,64,배당종결,2,630,403,437,69,2,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2022/100295/231637.jpg
225,304,2021-51840(1),아파트,서울특별시,광진구,자양동,813,101동,14.0,1401,광진하우스토리한강,"서울특별시 광진구 자양동 813 101동 14층1401호 (자양동,광진하우스토리한강)",2023-03-13,80,배당종결,1,1,1,1,92,5,http://img1.speedauction.co.kr/new_gamimg/2021/A02/2021/51840/436484.jpg
226,305,2022-1234(1),아파트,서울특별시,양천구,신월동,413-3,,2.0,2,,서울특별시 양천구 신월동 413-3 제2층 제2호,2023-03-09,80,배당종결,1,255,204,204,80,1,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/1234/141550.jpg
227,306,2022-101202(1),아파트,서울특별시,강서구,등촌동,510-7,,5.0,504,해태골든팰리스,"서울특별시 강서구 등촌동 510-7 제5층 제504호 (등촌동, 해태골든팰리스)",2023-03-09,64,배당종결,2,702,449,491,70,2,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/101202/229953.jpg
228,307,2022-106560(1),아파트,서울특별시,서초구,반포동,18-1,106동,18.0,1801,래미안퍼스티지,"서울특별시 서초구 반포동 18-1 106동 18층1801호 (반포동,래미안퍼스티지)",2023-03-08,64,배당종결,2,3,1,2,73,6,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/106560/46234_AUTO_17.jpg
229,308,2022-107907(1),아파트,서울특별시,강남구,도곡동,957-11,,12.0,1203,극동스타클래스,"서울특별시 강남구 도곡동 957-11 12층1203호 (도곡동,극동스타클래스)",2023-03-08,80,매각,1,1,1,1,80,1,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/107907/79426.jpg
230,309,2022-103799(1),아파트,서울특별시,동대문구,회기동,65,8동,1.0,102,청량리신현대아파트,"서울특별시 동대문구 회기동 65 8동 1층102호 (회기동,청량리신현대아파트)",2023-03-08,80,배당종결,1,800,640,648,81,2,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/103799/83100.jpg
231,310,2022-1404(1),아파트,서울특별시,도봉구,도봉동,30-1,115동,9.0,904,도봉한신아파트,"서울특별시 도봉구 도봉동 30-1 115동 9층904호 (도봉동,도봉한신아파트)",2023-03-07,64,배당종결,2,360,230,231,64,1,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2022/1404/57697_AUTO_151.jpg
232,311,2022-1081(1),아파트,서울특별시,구로구,개봉동,70-12,,15.0,1506,동도센트리움아파트,"서울특별시 구로구 개봉동 70-12 제15층 제1506호 (개봉동, 동도센트리움아파트)",2023-02-22,2,배당종결,3,847,433,523,62,10,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/1081/130149.jpg
233,312,2022-106584(1),아파트,서울특별시,동작구,사당동,1155,105동,1.0,105,사당유니드,"서울특별시 동작구 사당동 1155 105동 1층105호 (사당동,사당유니드)",2023-02-21,64,배당종결,2,869,556,721,83,14,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/106584/205725.jpg
234,313,2021-50627(3),아파트,서울특별시,마포구,성산동,114-3,,,901,성일아파트,"서울특별시 마포구 성산동 114-3 901호 (성산동,성일아파트)",2023-02-21,100,배당종결,0,338,338,350,104,1,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2021/50627/101983.jpg
235,314,2022-1264(1),아파트,서울특별시,서대문구,홍제동,455,102동,9.0,906,현대그린아파트,"서울특별시 서대문구 홍제동 455 102동 9층906호 (홍제동,현대그린아파트)",2023-02-21,64,배당종결,2,832,532,571,69,4,http://img1.speedauction.co.kr/new_gamimg/2022/A03/2022/1264/119962.jpg
236,315,2022-2435(1),아파트,서울특별시,구로구,개봉동,492,109동,7.0,705,개봉푸르지오,"서울특별시 구로구 개봉동 492 제109동 제7층 제705호 (개봉동, 개봉푸르지오)",2023-02-21,64,배당종결,2,997,638,751,75,5,http://img1.speedauction.co.kr/new_gamimg/2022/A04/2022/2435/153517.jpg
237,316,2021-4505(1),아파트,서울특별시,도봉구,창동,808,110동,6.0,601,동아청솔아파트,"서울특별시 도봉구 창동 808 110동 6층601호 (창동,동아청솔아파트)",2023-02-21,64,배당종결,2,1,876,953,70,3,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/4505/112730.jpg
238,317,2021-107350(1),아파트,서울특별시,노원구,월계동,320-11,302동,1.0,112,월계3단지사슴아파트,"서울특별시 노원구 월계동 320-11 302동 1층112호 (월계동,월계3단지사슴아파트)",2023-02-21,2,배당종결,6,520,136,171,33,10,http://img1.speedauction.co.kr/new_gamimg/2022/A05/2021/107350/155087.jpg
239,318,2020-52228(1),아파트,서울특별시,송파구,가락동,79,,16.0,1601,송파롯데캐슬파인힐,"서울특별시 송파구 가락동 79 16층1601호 (가락동,송파롯데캐슬파인힐)",2023-02-20,100,배당종결,0,1,1,1,117,3,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/52228/14156.jpg
240,319,2021-1074(1),아파트,서울특별시,광진구,중곡동,107-4,,6.0,602,삼보드림아파트,서울특별시 광진구 중곡동 107-4 삼보드림아파트 제6층 제602호,2023-02-20,2,배당종결,3,122,62,75,61,3,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1074/30160_AUTO_147.jpg
241,320,2021-109555(1),아파트,서울특별시,동작구,대방동,507,201동,9.0,903,대방2차이-편한세상,"서울특별시 동작구 대방동 507 201동 9층903호 (대방동,대방2차이-편한세상)",2023-02-16,64,배당종결,2,1,916,1,78,15,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2021/109555/07335_AUTO_409.jpg
242,321,2022-1214(1),아파트,서울특별시,강남구,대치동,503,3동,10.0,1003,우성,"서울특별시 강남구 대치동 503 3동 10층1003호 (대치동,우성)",2023-02-16,64,배당종결,2,1,1,1,70,1,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/1214/252873.jpg
243,322,2022-102728(1),아파트,서울특별시,동작구,상도1동,501-3,1동,4.0,404,현진베스트빌,"서울특별시 동작구 상도1동 501-3 4층404호 (상도1동,현진베스트빌)",2023-02-16,64,배당종결,2,530,339,413,78,11,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/102728/253230.jpg
244,323,2022-103431(1),아파트,서울특별시,강남구,삼성동,98-11,,7.0,701,삼부아그레빌,"서울특별시 강남구 삼성동 98-11 7층701호 (삼성동,삼부아그레빌)",2023-02-16,64,배당종결,2,2,1,1,78,9,http://img1.speedauction.co.kr/new_gamimg/2022/A01/2022/103431/253212.jpg
245,324,2020-2244(1),아파트,서울특별시,서초구,방배동,957-7,,8.0,805,대성아파트,"서울특별시 서초구 방배동 957-7 8층805호 (방배동,대성아파트)",2023-02-15,64,배당종결,2,1,992,1,68,2,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/2244/62536.jpg
